PROCESS      TAG          LINE   WORD   DATA
READ MISS    0000000000   0      0-7    0000000000000000 0000000000000000 1010010000010100 1111010000000010 0000100100000000 0000010000010100 0001100000000001 0000100000010100 
READ MISS    0000000000   2      0-7    0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000010101 0000000000000000 0000000000000000 0000000000000000 
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE HIT    0000000000   2      5      0000110011011010
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000010101
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000010110
READ MISS    0000000000   1      0-7    0000010001010101 0001110001000001 0000100001010101 0010110001000010 0011010000111111 0000000000000000 0000000000000000 0000000000000000 
READ HIT     0000000000   2      5      0000110011011010
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011011001
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000010110
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE HIT    0000000000   2      6      0000010001001100
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000010110
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000010111
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011011001
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011011000
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000010111
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE HIT    0000000000   2      7      0000010010110000
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000010111
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000011000
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011011000
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011010111
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000011000
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   3      0      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000011000
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000011001
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011010111
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011010110
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000011001
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   3      1      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000011001
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000011010
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011010110
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011010101
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000011010
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   3      2      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000011010
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000011011
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011010101
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011010100
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000011011
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   3      3      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000011011
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000011100
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011010100
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011010011
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000011100
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   3      4      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000011100
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000011101
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011010011
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011010010
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000011101
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   3      5      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000011101
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000011110
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011010010
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011010001
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000011110
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   3      6      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000011110
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000011111
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011010001
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011010000
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000011111
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   3      7      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000011111
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000100000
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011010000
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011001111
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000100000
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   4      0      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000100000
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000100001
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011001111
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011001110
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000100001
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   4      1      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000100001
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000100010
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011001110
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011001101
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000100010
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   4      2      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000100010
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000100011
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011001101
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011001100
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000100011
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   4      3      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000100011
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000100100
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011001100
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011001011
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000100100
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   4      4      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000100100
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000100101
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011001011
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011001010
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000100101
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   4      5      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000100101
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000100110
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011001010
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011001001
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000100110
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   4      6      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000100110
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000100111
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011001001
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
WRITE HIT    0000000000   2      5      0000110011001000
READ HIT     0000000000   1      3      0010110001000010
READ HIT     0000000000   0      2      1010010000010100
READ HIT     0000000000   2      4      0000000000100111
READ HIT     0000000000   0      3      1111010000000010
READ HIT     0000000000   0      4      0000100100000000
WRITE MISS   0000000000   4      7      
READ HIT     0000000000   0      5      0000010000010100
READ HIT     0000000000   2      4      0000000000100111
READ HIT     0000000000   0      6      0001100000000001
READ HIT     0000000000   0      7      0000100000010100
WRITE HIT    0000000000   2      4      0000000000101000
READ HIT     0000000000   1      0      0000010001010101
READ HIT     0000000000   2      5      0000110011001000
READ HIT     0000000000   1      1      0001110001000001
READ HIT     0000000000   1      2      0000100001010101
